,trigram,n
565,ease lockdown reopen,4
971,keep eye faqs,4
232,children cep_lse study,4
1588,reopen schools shops,4
1317,organisation whose funding,4
1998,someone thought useful,4
978,key principles determine,4
2291,uklabour must consider,4
1948,set five key,4
584,education minister kirsty,4
591,education phased schools,4
1572,reopen first time,4
514,dfe tips youve,4
986,kirsty williams set,4
1935,seen new best,4
1247,news well worth,4
509,determine education phased,4
66,apart bbc news,4
58,angelarayner uklabour must,4
1373,pcs launched save,4
1835,schools reopen says,4
1159,minister kirsty williams,4
278,closing gap rebuttal,4
731,fourweek school closure,4
1864,schools subscribing teacher,4
2430,williams set five,4
2428,whose funding cut,4
1139,measures worldwide savebritishcouncil,4
283,closure equivalent moving,4
401,coronavirusrelated measures worldwide,4
1423,political expediency covid_19,4
756,funding cut closure,4
758,future organisation whose,4
285,closure nearly schools,4
760,gap rebuttal andrew_adoniss,4
2413,well worth read,4
763,gavinwilliamson government angelarayner,4
210,cent children cep_lse,4
1779,schools due coronavirusrelated,4
772,get latest coronavirus,4
380,coronavirus schools live,4
1774,schools coronavirus schools,4
82,article school reopening,4
1149,middleranking child bottom,4
1163,ministers closing gap,4
213,cep_lse study says,4
2079,subscribe latest updates,4
1188,must consider urgency,4
683,faqs updated information,4
2080,subscribing teacher bulletin,4
1380,per cent children,4
688,fight future organisation,4
1180,moving middleranking child,4
268,clear plan based,4
1002,launched save british,4
1391,phased schools wales,4
2221,tips youve last,4
1397,plan based political,4
703,first time since,4
704,five key principles,4
1568,reopen due abuse,3
997,later say experts,3
1004,leader uk roadmap,3
209,cavalcades hospitals protests,3
1028,let know decision,3
1579,reopen primary schools,3
180,cam_assessment advises educationgovuk,3
2318,unsafe workplaces sociallydistanced,3
1573,reopen follow live,3
987,know decision taken,3
1542,really to shut,3
2284,uk really to,3
1554,referrals spike councilscan,3
1551,reduce spread coronavirus,3
2285,uk roadmap ease,3
2317,unnoticed lockdown sure,3
1558,remain open ever,3
553,due abuse going,3
2339,us schools plan,3
1511,quickly cllrjudithblake tells,3
1233,new educendowfoundn school,3
1342,pandemic young children,3
1230,new coronavirus must,3
35,advises schoolclosureuk mentalhealth,3
2473,worst ever leader,3
40,ahead controversial plan,3
1354,parents explain current,3
46,almajiri schools cannot,3
47,almajiri schools state,3
48,almost eliminated new,3
1360,part measures reduce,3
2464,workplaces sociallydistanced actions,3
2454,workers england braced,3
68,apply got concern,3
1191,must one hell,3
1179,moves reopen primary,3
1387,phased reopening closures,3
34,advises educationgovuk years,3
1236,new studies add,3
2479,would most likely,3
1258,ni signatory letter,3
1299,open ever excellent,3
5,abuse going unnoticed,3
2505,young children weve,3
2500,years five prioritised,3
16,action today say,3
17,actions could include,3
1260,nicola sturgeon warned,3
1257,ni schools reopen,3
1242,news coronavirus september,3
20,actually schools remain,3
21,add evidence children,3
1254,nhs overwhelmed coronavirus,3
1324,outcome predominantly testing,3
23,adding govt considering,3
1328,overwhelmed coronavirus within,3
26,address subject safe,3
1174,most likely see,3
1389,phased return jacquie,3
1172,months nicola sturgeon,3
1078,lockdown well actually,3
2397,we didnt want,3
1456,primary schools scotland,3
1458,primary tertiary institutions,3
1095,macron ploughs ahead,3
1461,prioritised schools start,3
2383,want shut schools,3
1478,protests possible moves,3
1077,lockdown sure apply,3
1110,manner education covid19,3
146,boris johnsons boristhebutcher,3
148,boristhebutcher worst ever,3
152,braced surge referrals,3
2351,utu_edu ni signatory,3
1505,put place referrals,3
1506,put together tips,3
